TICKER,HOLDERS,TOP HOLDER,Total Held,FREE FLOAT
IBST,1,PT IFORTE SOLUSI INFOTEK,100.0%,0.05% ⚠️
HITS,4,PT INVESTA DHARMA PUTERA,99.9%,0.08% ⚠️
SUPR,2,PT PROFESIONAL TELEKOMUNIKASI INDONESIA,99.9%,0.08% ⚠️
DCII,10,OTTO TOTO SUGIRI,99.8%,0.15% ⚠️
POLU,5,PT PROFASHION APPAREL,99.8%,0.19% ⚠️
ROCK,8,LUCIANA,99.8%,0.20% ⚠️
FASW,2,SIAM KRAFT INDUSTRY COMPANY LIMITED,99.8%,0.22% ⚠️
POLI,7,PO SUN KOK,99.7%,0.28% ⚠️
DUTI,3,BUMI SERPONG DAMAI TBK PT,99.4%,0.59% ⚠️
MFMI,1,IRON MOUNTAIN HONG KONG LIMITED,99.3%,0.65% ⚠️
SOSS,4,PT. Alsok Bass Indonesia Security Services,99.3%,0.66% ⚠️
META,2,PT METRO PACIFIC TOLLWAYS INDONESIA SERVICES,99.3%,0.68% ⚠️
FAPA,7,PRINSEP MANAGEMENT LIMITED,99.3%,0.73% ⚠️
BLTZ,4,CGI HOLDINGS LIMITED,99.3%,0.74% ⚠️
IFSH,5,PT FAJAR MINING RESOURCES,99.2%,0.84% ⚠️
SMAR,3,SINAR MAS AGRO RESOURCES AND TECHNOLOGY TbPkT PURIMAS SASMITA,99.2%,0.84% ⚠️
MPRO,10,JONATHAN TAHIR,99.1%,0.91% ⚠️
KMTR,5,HSF (S) PTE LTD,99.0%,0.99% ⚠️
SMDM,1,BUMI SERPONG DAMAI TBK PT,99.0%,1.03% ⚠️
SCPI,1,ORGANON LLC,98.8%,1.21% ⚠️
PGUN,6,PT ARAYA AGRO LESTARI,99.9%,1.26% ⚠️
JSPT,7,PT JAN DARMADI INVESTINDO,98.7%,1.27% ⚠️
SMCB,2,PT SEMEN INDONESIA (PERSERO) TBK,98.7%,1.32% ⚠️
GSMF,10,EQUITY GLOBAL INTERNATIONAL LIMITED,98.7%,1.34% ⚠️
BBSI,6,PT FINACCEL TEKNOLOGI INDONESIA,98.6%,1.43% ⚠️
CBUT,8,PT SAWIT SUMBERMAS SARANA TBK,98.5%,1.45% ⚠️
BNII,6,SORAK FINANCIAL HOLDINGS PTE LTD,98.5%,1.48% ⚠️
PRAY,5,PT. FAMON OBOR MAJU,98.5%,1.52% ⚠️
BYAN,10,LOW TUCK KWONG,98.5%,1.54% ⚠️
CMNT,6,WH INVESTMENTS PTE. LTD.,98.4%,1.58% ⚠️
ANJT,2,FIRST RESOURCES LIMITED,98.4%,1.63% ⚠️
POLL,6,PT BORNEO MELAWAI PERKASA,98.3%,1.66% ⚠️
ARTA,7,"LUCAS, SH. CN",99.6%,1.77% ⚠️
GEMS,7,PT DIAN SWASTATIKA SENTOSA TBK,98.2%,1.85% ⚠️
CTBN,7,KESTREL WAVE INVESTMENT LTD,99.5%,2.03% ⚠️
BMAS,5,KASIKORN VISION FINANCIAL COMPANY PTE LTD,97.9%,2.06% ⚠️
SKLT,11,GREEN RESOURCES INVESTMENTS PTE. LTD.,97.9%,2.06% ⚠️
